,Rank,Youtube Channel,Subscribers,Video Views,Video Count,Category,Started
0,1,T-Series,"234,000,000","212,900,271,553","18,515",Music,2006
1,2,YouTube Movies,"161,000,000",0,0,Film & Animation,2015
2,3,Cocomelon - Nursery Rhymes,"152,000,000","149,084,178,448",846,Education,2006
3,4,SET India,"150,000,000","137,828,094,104","103,200",Shows,2006
4,5,MrBeast,"128,000,000","21,549,128,785",733,Entertainment,2012
5,6,Music,"118,000,000",0,0,https://us.youtubers.me/global/all/top-1000-most_subscribed-youtube-channels,2013
6,7,PewDiePie,"111,000,000","28,851,883,250","4,694",Gaming,2010
7,8,✿ Kids Diana Show,"106,000,000","86,638,570,921","1,056",People & Blogs,2015
8,9,Like Nastya,"104,000,000","87,202,935,675",754,People & Blogs,2016
9,10,Gaming,"93,300,000",0,0,https://us.youtubers.me/global/all/top-1000-most_subscribed-youtube-channels,2013
10,11,WWE,"92,800,000","73,577,695,222","66,174",Sports,2007
11,12,Vlad and Niki,"92,700,000","72,444,118,381",520,Entertainment,2018
12,13,Zee Music Company,"91,600,000","53,352,597,784","7,530",Music,2014
13,14,BLACKPINK,"83,900,000","28,723,286,185",468,People & Blogs,2016
14,15,Goldmines,"81,200,000","21,296,568,609","5,090",Film & Animation,2012
15,16,5-Minute Crafts,"78,500,000","24,983,430,208","5,937",Howto & Style,2016
16,17,Sony SAB,"76,400,000","91,117,292,875","63,390",Shows,2007
17,18,Sports,"75,100,000",0,0,https://us.youtubers.me/global/all/top-1000-most_subscribed-youtube-channels,2013
18,19,BANGTANTV,"73,100,000","19,240,057,894","2,090",Music,2012
19,20,Justin Bieber,"70,800,000","29,598,652,357",249,Music,2007
20,21,HYBE LABELS,"69,600,000","25,947,702,825","1,070",Music,2008
21,22,Canal KondZilla,"66,300,000","37,179,407,050","2,383",Music,2012
22,23,Zee TV,"65,400,000","31,291,572,708","80,178",Entertainment,2005
23,24,Pinkfong Baby Shark - Kids' Songs & Stories,"64,600,000","35,934,421,688","2,599",Education,2011
24,25,Shemaroo Filmi Gaane,"63,500,000","29,992,048,346","8,464",Music,2010
25,26,ChuChu TV Nursery Rhymes & Kids Songs,"61,100,000","41,904,239,949",531,Education,2013
26,27,Colors TV,"59,300,000","57,825,649,653","102,403",Shows,2008
27,28,Dude Perfect,"58,600,000","15,294,226,020",364,Sports,2009
28,29,Movieclips,"58,500,000","59,493,925,856","39,921",Film & Animation,2006
29,30,T-Series Bhakti Sagar,"57,300,000","27,004,807,684","24,900",Music,2011
30,31,Tips Official,"56,300,000","30,741,513,673","4,102",Music,2007
31,32,Marshmello,"56,100,000","14,014,958,483",405,Entertainment,2015
32,33,Wave Music,"55,700,000","38,819,471,815","18,970",Music,2014
33,34,Sony Music India,"55,400,000","27,179,277,627","3,380",Music,2009
34,35,Aaj Tak,"55,300,000","22,725,789,132","233,730",News & Politics,2009
35,36,EminemMusic,"55,000,000","25,334,375,101",140,Music,2007
36,37,El Reino Infantil,"55,000,000","53,458,257,145","1,410",Music,2011
37,38,Ed Sheeran,"52,800,000","29,004,663,326",258,Music,2006
38,39,LooLoo Kids - Nursery Rhymes and Children's Songs,"52,300,000","30,857,986,532",607,Music,2014
39,40,Ariana Grande,"52,200,000","23,058,776,245",146,Music,2007
40,41,YRF,"51,000,000","32,068,851,747","3,475",Film & Animation,2006
41,42,Taylor Swift,"50,700,000","27,714,189,976",204,Music,2006
42,43,BillionSurpriseToys - English Kids Songs & Cartoon,"49,700,000","8,662,901,485",637,Education,2013
43,44,Infobells - Hindi,"48,400,000","27,621,598,218",514,Education,2014
44,45,Billie Eilish,"47,300,000","12,810,775,364",51,Music,2013
45,46,JuegaGerman,"47,000,000","14,143,277,535","2,017",Gaming,2013
46,47,Badabun,"46,300,000","19,053,487,396","16,726",Entertainment,2014
47,48,Fernanfloo,"45,600,000","10,146,422,791",542,Gaming,2011
48,49,Bad Bunny,"45,100,000","28,114,460,507",127,Music,2014
49,50,Felipe Neto,"44,800,000","16,043,230,315","3,977",Entertainment,2006
50,51,SonyMusicIndiaVEVO,"44,800,000","25,915,043,211","3,366",Music,2009
51,52,BRIGHT SIDE,"44,300,000","10,430,931,571","5,173",Howto & Style,2017
52,53,Get Movies,"44,200,000","29,251,998,725","3,160",Entertainment,2006
53,54,Você Sabia?,"44,100,000","7,597,909,400","1,444",Entertainment,2013
54,55,whinderssonnunes,"44,000,000","4,179,250,874",524,Comedy,2013
55,56,Shemaroo,"44,000,000","22,419,193,201","10,697",Entertainment,2007
56,57,A4,"43,900,000","19,946,220,349",709,Gaming,2014
57,58,Katy Perry,"43,800,000","24,676,643,547",120,Music,2008
58,59,HolaSoyGerman.,"43,400,000","4,782,790,153",136,Entertainment,2011
59,60,Alan Walker,"42,800,000","12,266,013,874",364,Music,2012
60,61,Voot Kids,"42,300,000","19,620,244,169","3,923",Entertainment,2016
61,62,Like Nastya Show,"42,100,000","19,124,111,758",606,Entertainment,2017
62,63,ABS-CBN Entertainment,"42,100,000","48,815,821,642","185,775",People & Blogs,2008
63,64,Speed Records,"41,800,000","25,752,372,644","10,608",Music,2012
64,65,Rihanna,"40,900,000","21,169,959,746",82,Entertainment,2005
65,66,Маша и Медведь,"40,900,000","34,577,807,066","1,281",Film & Animation,2011
66,67,Little Baby Bum - Nursery Rhymes & Kids Songs,"40,600,000","38,573,516,896","2,245",Education,2011
67,68,elrubiusOMG,"40,400,000","7,581,423,100",711,Gaming,2011
68,69,Shakira,"40,100,000","25,428,049,775",307,People & Blogs,2005
69,70,Luisito Comunica,"39,800,000","8,160,328,364","1,194",Comedy,2012
70,71,Ishtar Music,"39,500,000","16,198,667,693","4,582",Trailers,2005
71,72,Kimberly Loaiza,"39,500,000","4,939,734,902",250,People & Blogs,2016
72,73,LUCCAS NETO - LUCCAS TOON,"38,700,000","21,415,852,275","1,985",People & Blogs,2014
73,74,ARY Digital HD,"38,600,000","32,383,019,054","88,409",Entertainment,2016
74,75,Masha and The Bear,"38,500,000","21,850,302,761","1,035",Shows,2014
75,76,XXXTENTACION,"38,400,000","10,134,205,288",129,Music,2015
76,77,GR6 EXPLODE,"38,400,000","24,701,070,352","4,134",Music,2014
77,78,Toys and Colors,"38,400,000","44,190,624,959",905,Entertainment,2016
78,79,TheEllenShow,"38,300,000","22,535,632,362","14,993",Entertainment,2006
79,80,WorkpointOfficial,"38,100,000","36,234,268,240","69,696",Entertainment,2012
80,81,One Direction,"37,800,000","13,125,170,526",157,Music,2010
81,82,CarryMinati,"37,600,000","3,110,725,449",180,Comedy,2014
82,83,Daddy Yankee,"37,500,000","21,667,615,457",471,Music,2011
83,84,shfa2 - شفا,"37,400,000","22,249,785,330","1,468",People & Blogs,2017
84,85,Super Simple Songs - Kids Songs,"37,400,000","40,905,820,903",647,Education,2006
85,86,TEDx Talks,"37,300,000","7,025,367,828","191,506",Nonprofits & Activism,2009
86,87,shfa,"37,000,000","20,196,597,873",920,People & Blogs,2015
87,88,Jkk Entertainment,"36,700,000","15,892,449,076",207,Comedy,2017
88,89,HAR PAL GEO,"36,700,000","32,307,389,493","80,499",Entertainment,2008
89,90,Mikecrack,"36,600,000","14,997,302,673","1,811",Gaming,2015
90,91,Maroon 5,"36,400,000","21,651,521,761",163,Music,2006
91,92,News,"36,300,000",0,0,https://us.youtubers.me/global/all/top-1000-most_subscribed-youtube-channels,2013
92,93,Goldmines Gaane Sune Ansune,"36,300,000","15,500,577,270","3,406",Music,2015
93,94,Bruno Mars,"36,100,000","18,369,812,498",99,Music,2006
94,95,ช่อง one31,"36,000,000","26,380,324,996","104,458",Entertainment,2013
95,96,Like Nastya ESP,"35,900,000","17,250,777,103",691,Entertainment,2017
96,97,Ozuna,"35,800,000","22,255,148,830",162,Music,2016
97,98,Maria Clara & JP,"35,500,000","22,536,784,457",693,People & Blogs,2015
98,99,Sony PAL,"35,300,000","25,906,208,404","21,627",Shows,2014
99,100,YouTube,"35,200,000","2,980,922,779",620,News & Politics,1970
100,101,Ultra Bollywood,"35,200,000","16,071,519,784","9,424",Trailers,2009
101,102,ABP NEWS,"35,100,000","11,605,665,353","253,628",People & Blogs,2012
102,103,Total Gaming,"34,300,000","5,297,672,072","1,137",Gaming,2018
103,104,Markiplier,"34,300,000","19,491,886,710","5,392",Gaming,2012
104,105,Ryan's World,"34,200,000","53,646,314,889","2,294",Entertainment,2015
105,106,J Balvin,"33,900,000","22,257,560,882",134,Music,2011
106,107,Vlad và Niki,"33,900,000","21,008,932,630",457,https://us.youtubers.me/global/all/top-1000-most_subscribed-youtube-channels,2018
107,108,Geet MP3,"33,700,000","12,205,382,034",614,Music,2016
108,109,Desi Music Factory,"33,600,000","9,909,079,287",129,Music,2014
109,110,IndiaTV,"33,600,000","14,728,724,777","254,217",News & Politics,2006
110,111,T-Series Apna Punjab,"33,600,000","20,004,653,117","7,169",Music,2011
111,112,La Granja de Zenón,"33,600,000","24,784,972,963",604,Music,2013
112,113,VEGETTA777,"33,600,000","15,182,606,203","7,322",Gaming,2008
113,114,SSSniperWolf,"33,200,000","22,265,406,473","3,200",Gaming,2013
114,115,NoCopyrightSounds,"33,100,000","10,843,342,435","1,205",Music,2011
115,116,KHANDESHI MOVIES,"33,000,000","11,114,815,843",203,Comedy,2013
116,117,Bollywood Classics,"32,800,000","20,441,345,965","1,959",Music,2012
117,118,PowerKids TV,"32,800,000","16,678,003,928","3,818",Film & Animation,2014
118,119,Ch3Thailand,"32,500,000","20,928,776,913","73,637",Entertainment,2014
119,120,Galinha Pintadinha,"32,300,000","24,453,480,427",65,Film & Animation,2006
120,121,Selena Gomez,"32,200,000","12,212,768,270",188,Film & Animation,2008
121,122,Eros Now Music,"32,000,000","17,279,122,597","9,863",Entertainment,2007
122,123,Saregama Music,"32,000,000","13,568,878,190","6,652",Entertainment,2013
123,124,Rajshri,"31,900,000","13,965,458,068","3,761",Music,2006
124,125,GENIAL,"31,700,000","6,578,128,540","5,957",Howto & Style,2017
125,126,CVS 3D Rhymes & Kids Songs,"31,700,000","19,319,626,738",338,Education,2008
126,127,JustinBieberVEVO,"31,700,000","25,955,745,056",204,Music,2009
127,128,Mr Bean,"31,500,000","10,219,405,165","2,847",Shows,2006
128,129,rezendeevil,"31,500,000","12,837,585,247","11,757",Gaming,2012
129,130,SMTOWN,"31,400,000","26,267,502,068","4,059",Music,2006
130,131,DisneyMusicVEVO,"31,400,000","26,620,144,607","1,922",Music,2010
131,132,BabyBus - Kids Songs and Cartoons,"31,300,000","25,291,836,510","1,953",Education,2016
